Full Token,All Modes,Light Mode,Dark Mode
affirm.color.input_text.input.bg.empty.resting,,gray.white,gray.850
affirm.color.input_text.input.bg.empty.hover,,indigo.050,gray.800
affirm.color.input_text.input.bg.empty.pressed,,indigo.100,gray.750
affirm.color.input_text.input.bg.empty.focus_visible,,indigo.050,gray.800
affirm.color.input_text.input.bg.empty.focus,,gray.white,gray.850
affirm.color.input_text.input.bg.empty.disabled,,gray.200,gray.750
affirm.color.input_text.input.bg.error_empty.resting,,gray.white,gray.850
affirm.color.input_text.input.bg.error_empty.hover,,red.050,gray.800
affirm.color.input_text.input.bg.error_empty.pressed,,red.100,gray.750
affirm.color.input_text.input.bg.error_empty.focus_visible,,red.050,gray.800
affirm.color.input_text.input.bg.error_empty.focus,,gray.white,gray.850
affirm.color.input_text.input.border.empty.resting,,gray.500,gray.500
affirm.color.input_text.input.border.empty.hover,,gray.500,gray.500
affirm.color.input_text.input.border.empty.pressed,,indigo.970,indigo.300
affirm.color.input_text.input.border.empty.focus_visible,,gray.500,gray.500
affirm.color.input_text.input.border.empty.focus,,indigo.970,indigo.300
affirm.color.input_text.input.border.empty.disabled,,gray.300,gray.700
affirm.color.input_text.input.border.error_empty.resting,,red.850,red.300
affirm.color.input_text.input.border.error_empty.hover,,red.850,red.300
affirm.color.input_text.input.border.error_empty.pressed,,red.850,red.300
affirm.color.input_text.input.border.error_empty.focus_visible,,red.850,red.300
affirm.color.input_text.input.border.error_empty.focus,,red.850,red.300
affirm.color.input_text.input.bg.filled.resting,,gray.white,gray.850
affirm.color.input_text.input.bg.filled.hover,,indigo.050,gray.800
affirm.color.input_text.input.bg.filled.pressed,,indigo.100,gray.750
affirm.color.input_text.input.bg.filled.focus_visible,,indigo.050,gray.800
affirm.color.input_text.input.bg.filled.focus,,gray.white,gray.850
affirm.color.input_text.input.bg.filled.disabled,,gray.200,gray.750
affirm.color.input_text.input.bg.error_filled.resting,,gray.white,gray.850
affirm.color.input_text.input.bg.error_filled.hover,,red.050,gray.800
affirm.color.input_text.input.bg.error_filled.pressed,,red.100,gray.750
affirm.color.input_text.input.bg.error_filled.focus_visible,,red.050,gray.800
affirm.color.input_text.input.bg.error_filled.focus,,gray.white,gray.850
affirm.color.input_text.input.border.filled.resting,,gray.500,gray.500
affirm.color.input_text.input.border.filled.hover,,gray.500,gray.500
affirm.color.input_text.input.border.filled.pressed,,indigo.970,indigo.300
affirm.color.input_text.input.border.filled.focus_visible,,gray.500,gray.500
affirm.color.input_text.input.border.filled.focus,,indigo.970,indigo.300
affirm.color.input_text.input.border.filled.disabled,,gray.300,gray.700
affirm.color.input_text.input.border.error_filled.resting,,red.850,red.300
affirm.color.input_text.input.border.error_filled.hover,,red.850,red.300
affirm.color.input_text.input.border.error_filled.pressed,,red.850,red.300
affirm.color.input_text.input.border.error_filled.focus_visible,,red.850,red.300
affirm.color.input_text.input.border.error_filled.focus,,red.850,red.300
affirm.color.input_text.input.outline.empty.focus_visible,,indigo.650,indigo.650
affirm.color.input_text.input.outline.filled.focus_visible,,indigo.650,indigo.650
affirm.color.input_text.input.outline.error_empty.focus_visible,,indigo.650,indigo.650
affirm.color.input_text.input.outline.error_filled.focus_visible,,indigo.650,indigo.650
affirm.color.input_text.input.cursor.fill.empty.focus,,indigo.650,indigo.650
affirm.color.input_text.input.cursor.fill.filled.focus,,indigo.650,indigo.650
