csv_token,figma_name,figma_id
affirm.color.input_text.input.bg.empty.resting,color/input_text/input/bg/empty/resting,VariableID:15365:5854
affirm.color.input_text.input.bg.empty.hover,color/input_text/input/bg/empty/hover,VariableID:19011:4792
affirm.color.input_text.input.bg.empty.pressed,color/input_text/input/bg/empty/pressed,VariableID:19151:5859
affirm.color.input_text.input.bg.empty.focus_visible,,
affirm.color.input_text.input.bg.empty.focus,color/input_text/input/bg/empty/focus,VariableID:19151:5865
affirm.color.input_text.input.bg.empty.disabled,color/input_text/input/bg/empty/disabled,VariableID:19151:5866
affirm.color.input_text.input.bg.error_empty.resting,,
affirm.color.input_text.input.bg.error_empty.hover,,
affirm.color.input_text.input.bg.error_empty.pressed,,
affirm.color.input_text.input.bg.error_empty.focus_visible,,
affirm.color.input_text.input.bg.error_empty.focus,,
affirm.color.input_text.input.border.empty.resting,color/input_text/input/border/empty/resting,VariableID:15372:5915
affirm.color.input_text.input.border.empty.hover,color/input_text/input/border/empty/hover,VariableID:19151:5876
affirm.color.input_text.input.border.empty.pressed,color/input_text/input/border/empty/pressed,VariableID:19151:5877
affirm.color.input_text.input.border.empty.focus_visible,,
affirm.color.input_text.input.border.empty.focus,color/input_text/input/border/empty/focus,VariableID:19151:5880
affirm.color.input_text.input.border.empty.disabled,color/input_text/input/border/empty/disabled,VariableID:19161:4751
affirm.color.input_text.input.border.error_empty.resting,color/input_text/input/border/error_empty/resting,VariableID:19151:5886
affirm.color.input_text.input.border.error_empty.hover,color/input_text/input/border/error_empty/hover,VariableID:19151:5889
affirm.color.input_text.input.border.error_empty.pressed,color/input_text/input/border/error_empty/pressed,VariableID:19151:5890
affirm.color.input_text.input.border.error_empty.focus_visible,color/input_text/input/border/error_empty/focus_visible,VariableID:19151:5891
affirm.color.input_text.input.border.error_empty.focus,color/input_text/input/border/error_empty/focus,VariableID:19151:5892
affirm.color.input_text.input.bg.filled.resting,color/input_text/input/bg/filled/resting,VariableID:15365:5911
affirm.color.input_text.input.bg.filled.hover,color/input_text/input/bg/filled/hover,VariableID:19151:5893
affirm.color.input_text.input.bg.filled.pressed,color/input_text/input/bg/filled/pressed,VariableID:19151:5894
affirm.color.input_text.input.bg.filled.focus_visible,color/input_text/input/bg/filled/focus_visible,VariableID:19151:5895
affirm.color.input_text.input.bg.filled.focus,color/input_text/input/bg/filled/focus,VariableID:15365:5912
affirm.color.input_text.input.bg.filled.disabled,color/input_text/input/bg/filled/disabled,VariableID:15365:5913
affirm.color.input_text.input.bg.error_filled.resting,color/input_text/input/bg/error_filled/resting,VariableID:15365:5914
affirm.color.input_text.input.bg.error_filled.hover,color/input_text/input/bg/error_filled/hover,VariableID:19151:5896
affirm.color.input_text.input.bg.error_filled.pressed,color/input_text/input/bg/error_filled/pressed,VariableID:19151:5898
affirm.color.input_text.input.bg.error_filled.focus_visible,color/input_text/input/bg/error_filled/focus_visible,VariableID:19151:5899
affirm.color.input_text.input.bg.error_filled.focus,color/input_text/input/bg/error_filled/focus,VariableID:19151:5900
affirm.color.input_text.input.border.filled.resting,color/input_text/input/border/filled/resting,VariableID:15372:5916
affirm.color.input_text.input.border.filled.hover,color/input_text/input/border/filled/hover,VariableID:19151:5901
affirm.color.input_text.input.border.filled.pressed,color/input_text/input/border/filled/pressed,VariableID:19151:5902
affirm.color.input_text.input.border.filled.focus_visible,color/input_text/input/border/filled/focus_visible,VariableID:19151:5903
affirm.color.input_text.input.border.filled.focus,color/input_text/input/border/filled/focus,VariableID:15372:5918
affirm.color.input_text.input.border.filled.disabled,color/input_text/input/border/filled/disabled,VariableID:15372:5919
affirm.color.input_text.input.border.error_filled.resting,color/input_text/input/border/error_filled/resting,VariableID:15372:5917
affirm.color.input_text.input.border.error_filled.hover,color/input_text/input/border/error_filled/hover,VariableID:19161:4595
affirm.color.input_text.input.border.error_filled.pressed,color/input_text/input/border/error_filled/pressed,VariableID:19161:4596
affirm.color.input_text.input.border.error_filled.focus_visible,color/input_text/input/border/error_filled/focus_visible,VariableID:19161:4597
affirm.color.input_text.input.border.error_filled.focus,color/input_text/input/border/error_filled/focus,VariableID:19161:4598
affirm.color.input_text.input.outline.empty.focus_visible,color/input_text/input/outline/empty/focus_visible,VariableID:19161:4600
affirm.color.input_text.input.outline.filled.focus_visible,color/input_text/input/outline/filled/focus_visible,VariableID:19161:4601
affirm.color.input_text.input.outline.error_empty.focus_visible,color/input_text/input/outline/error_empty/focus_visible,VariableID:19161:4603
affirm.color.input_text.input.outline.error_filled.focus_visible,color/input_text/input/outline/error_filled/focus_visible,VariableID:19161:4602
affirm.color.input_text.input.cursor.fill.empty.focus,color/input_text/input/cursor/fill/empty/focus,VariableID:19161:4604
affirm.color.input_text.input.cursor.fill.filled.focus,color/input_text/input/cursor/fill/filled/focus,VariableID:19161:4605
affirm.color.input_text.input.cursor.fill.error_empty.focus,color/input_text/input/cursor/fill/error_empty/focus,VariableID:19161:4606
affirm.color.input_text.input.cursor.fill.error_filled.focus,color/input_text/input/cursor/fill/error_filled/focus,VariableID:19161:4608
affirm.color.input_text.input.icon.empty.resting,color/input_text/input/icon/empty/resting,VariableID:15372:5935
affirm.color.input_text.input.icon.empty.hover,color/input_text/input/icon/empty/hover,VariableID:19161:4609
affirm.color.input_text.input.icon.empty.focus,color/input_text/input/icon/empty/focus,VariableID:19161:4610
affirm.color.input_text.input.icon.empty.focus_visible,color/input_text/input/icon/empty/focus_visible,VariableID:19161:4611
affirm.color.input_text.input.icon.empty.pressed,color/input_text/input/icon/empty/pressed,VariableID:19161:4612
