csv_token,figma_name,figma_id
affirm.color.checkbox.container.outline.focus_visible,,
affirm.color.checkbox.indicator.bg.error_selected.focus_visible,color/checkbox/indicator/bg/error_selected/focus_visible,VariableID:15254:11115
affirm.color.checkbox.indicator.bg.error_selected.hover,color/checkbox/indicator/bg/error_selected/hover,VariableID:15254:11116
affirm.color.checkbox.indicator.bg.error_selected.pressed,color/checkbox/indicator/bg/error_selected/pressed,VariableID:15254:11114
affirm.color.checkbox.indicator.bg.error_selected.resting,color/checkbox/indicator/bg/error_selected/resting,VariableID:15254:11117
affirm.color.checkbox.indicator.bg.error_unselected.focus_visible,color/checkbox/indicator/bg/error_unselected/focus_visible,VariableID:15254:11124
affirm.color.checkbox.indicator.bg.error_unselected.hover,color/checkbox/indicator/bg/error_unselected/hover,VariableID:15254:11122
affirm.color.checkbox.indicator.bg.error_unselected.pressed,color/checkbox/indicator/bg/error_unselected/pressed,VariableID:15254:11123
affirm.color.checkbox.indicator.bg.error_unselected.resting,color/checkbox/indicator/bg/error_unselected/resting,VariableID:15254:11111
affirm.color.checkbox.indicator.bg.selected.disabled,color/checkbox/indicator/bg/selected/disabled,VariableID:15254:11113
affirm.color.checkbox.indicator.bg.selected.focus_visible,color/checkbox/indicator/bg/selected/focus_visible,VariableID:15254:11102
affirm.color.checkbox.indicator.bg.selected.hover,color/checkbox/indicator/bg/selected/hover,VariableID:15254:11100
affirm.color.checkbox.indicator.bg.selected.pressed,color/checkbox/indicator/bg/selected/pressed,VariableID:15254:11101
affirm.color.checkbox.indicator.bg.selected.resting,color/checkbox/indicator/bg/selected/resting,VariableID:15254:11099
affirm.color.checkbox.indicator.bg.unselected.disabled,color/checkbox/indicator/bg/unselected/disabled,VariableID:15254:11112
affirm.color.checkbox.indicator.bg.unselected.focus_visible,color/checkbox/indicator/bg/unselected/focus_visible,VariableID:15254:11107
affirm.color.checkbox.indicator.bg.unselected.hover,color/checkbox/indicator/bg/unselected/hover,VariableID:15254:11109
affirm.color.checkbox.indicator.bg.unselected.pressed,color/checkbox/indicator/bg/unselected/pressed,VariableID:15254:11108
affirm.color.checkbox.indicator.bg.unselected.resting,color/checkbox/indicator/bg/unselected/resting,VariableID:15254:11110
affirm.color.checkbox.indicator.border.error_selected.focus_visible,color/checkbox/indicator/border/error_selected/focus_visible,VariableID:15254:11142
