csv_token,figma_name,figma_id
affirm.color.chip.container.bg.disabled,color/chip/container/bg/disabled,VariableID:19230:1582
affirm.color.chip.container.bg.focus_visible,color/chip/container/bg/focus_visible,VariableID:19230:1581
affirm.color.chip.container.bg.hover,color/chip/container/bg/hover,VariableID:19230:1579
affirm.color.chip.container.bg.pressed,color/chip/container/bg/pressed,VariableID:19230:1580
affirm.color.chip.container.bg.resting,color/chip/container/bg/resting,VariableID:16716:1349
affirm.color.chip.container.border.disabled,color/chip/container/border/disabled,VariableID:19230:1590
affirm.color.chip.container.border.focus_visible,color/chip/container/border/focus_visible,VariableID:19230:1589
affirm.color.chip.container.border.hover,color/chip/container/border/hover,VariableID:19230:1587
affirm.color.chip.container.border.pressed,color/chip/container/border/pressed,VariableID:19230:1588
affirm.color.chip.container.border.resting,color/chip/container/border/resting,VariableID:16716:1353
affirm.color.chip.icon.disabled,color/chip/icon/disabled,VariableID:19236:1589
affirm.color.chip.icon.focus_visible,color/chip/icon/focus_visible,VariableID:19236:1588
affirm.color.chip.icon.hover,color/chip/icon/hover,VariableID:19236:1586
affirm.color.chip.icon.pressed,color/chip/icon/pressed,VariableID:19236:1587
affirm.color.chip.icon.resting,color/chip/icon/resting,VariableID:16716:1357
affirm.color.chip.indicator.disabled,color/chip/indicator/disabled,VariableID:19236:1594
affirm.color.chip.indicator.focus_visible,color/chip/indicator/focus-visible,VariableID:19236:1593
affirm.color.chip.indicator.hover,color/chip/indicator/hover,VariableID:19236:1591
affirm.color.chip.indicator.pressed,color/chip/indicator/pressed,VariableID:19236:1592
affirm.color.chip.indicator.resting,color/chip/indicator/resting,VariableID:19236:1590
affirm.color.chip.outline.focus_visible,color/chip/outline/focus_visible,VariableID:19236:1595
affirm.color.chip.text.disabled,color/chip/text/disabled,VariableID:19236:1582
affirm.color.chip.text.focus_visible,color/chip/text/focus_visible,VariableID:19236:1581
affirm.color.chip.text.hover,color/chip/text/hover,VariableID:19236:1579
affirm.color.chip.text.pressed,color/chip/text/pressed,VariableID:19236:1580
affirm.color.chip.text.resting,color/chip/text/resting,VariableID:16716:1365
affirm.radius.chip.large.all,radius/chip/large/all,VariableID:19251:1615
affirm.radius.chip.medium.all,radius/chip/medium/all,VariableID:16716:1369
affirm.radius.chip.small.all,radius/chip/small/all,VariableID:16716:1370
affirm.size.chip.border.width,size/chip/border/width,VariableID:16716:1371
affirm.size.chip.large.icon.all,size/chip/large/icon/all,VariableID:19242:1596
affirm.size.chip.large.indicator.all,size/chip/large/indicator/all,VariableID:19242:1597
affirm.size.chip.medium.icon.all,size/chip/medium/icon/all,VariableID:16716:1379
affirm.size.chip.medium.indicator.all,size/chip/medium/indicator/all,VariableID:19244:1598
affirm.size.chip.outline.width.focus_visible,size/chip/outline/width/focus_visible,VariableID:19244:1600
affirm.size.chip.small.icon.all,size/chip/small/icon/all,VariableID:16716:1380
affirm.size.chip.small.indicator.all,size/chip/small/indicator/all,VariableID:19244:1599
affirm.spacing.chip.large.gap_x,spacing/chip/large/gap_x,VariableID:19251:1604
affirm.spacing.chip.large.padding_bottom,spacing/chip/large/padding_bottom,VariableID:19251:1608
affirm.spacing.chip.large.padding_left,spacing/chip/large/padding_left,VariableID:19251:1605
affirm.spacing.chip.large.padding_right,spacing/chip/large/padding_right,VariableID:19251:1606
affirm.spacing.chip.large.padding_top,spacing/chip/large/padding_top,VariableID:19251:1607
affirm.spacing.chip.medium.gap_x,spacing/chip/medium/gap_x,VariableID:16716:1381
affirm.spacing.chip.medium.padding_bottom,spacing/chip/medium/padding_bottom,VariableID:19251:1610
affirm.spacing.chip.medium.padding_left,spacing/chip/medium/padding_left,VariableID:19251:1609
affirm.spacing.chip.medium.padding_right,spacing/chip/medium/padding_right,VariableID:16716:1383
affirm.spacing.chip.medium.padding_top,spacing/chip/medium/padding_top,VariableID:16716:1382
affirm.spacing.chip.outline.offset.focus_visible,spacing/chip/outline/offset/focus_visible,VariableID:19251:1614
affirm.spacing.chip.small.gap_x,spacing/chip/small/gap_x,VariableID:16716:1384
affirm.spacing.chip.small.padding_bottom,spacing/chip/small/padding_bottom,VariableID:19251:1612
affirm.spacing.chip.small.padding_left,spacing/chip/small/padding_left,VariableID:19251:1611
affirm.spacing.chip.small.padding_right,spacing/chip/small/padding_right,VariableID:16716:1386
affirm.spacing.chip.small.padding_top,spacing/chip/small/padding_top,VariableID:16716:1385
