csv_token,figma_name,figma_id
affirm.color.link.text.resting,color/link/text/resting,VariableID:19008:5941
affirm.color.link.text.hover,color/link/text/hover,VariableID:19008:5942
affirm.color.link.text.pressed,color/link/text/pressed,VariableID:19008:5943
affirm.color.link.text.focus_visible,color/link/text/focus_visible,VariableID:19008:5944
affirm.color.link.text.disabled,color/link/text/disabled,VariableID:19008:5945
affirm.color.link.container.bg.resting,color/link/container/bg/resting,VariableID:19008:5946
affirm.color.link.container.bg.hover,color/link/container/bg/hover,VariableID:19008:5947
affirm.color.link.container.bg.pressed,color/link/container/bg/pressed,VariableID:19008:5948
affirm.color.link.container.bg.focus_visible,color/link/container/bg/focus_visible,VariableID:19008:5949
affirm.color.link.container.bg.disabled,color/link/container/bg/disabled,VariableID:19008:5950
affirm.color.link.icon.resting,color/link/icon/resting,VariableID:19008:5951
affirm.color.link.icon.hover,color/link/icon/hover,VariableID:19008:5952
affirm.color.link.icon.pressed,color/link/icon/pressed,VariableID:19008:5953
affirm.color.link.icon.focus_visible,color/link/icon/focus_visible,VariableID:19008:5954
affirm.color.link.icon.disabled,color/link/icon/disabled,VariableID:19008:5955
affirm.color.link.outline.focus_visible,color/link/outline/focus_visible,VariableID:19008:5956
affirm.radius.link.container.top.resting,radius/link/container/top/resting,VariableID:19026:5971
affirm.radius.link.container.top.hover,radius/link/container/top/hover,VariableID:19026:5972
affirm.radius.link.container.top.pressed,radius/link/container/top/pressed,VariableID:19026:5973
affirm.radius.link.container.top.focus_visible,radius/link/container/top/focus_visible,VariableID:19026:5974
affirm.radius.link.container.bottom.resting,radius/link/container/bottom/resting,VariableID:19026:5975
affirm.radius.link.container.bottom.hover,radius/link/container/bottom/hover,VariableID:19026:5976
affirm.radius.link.container.bottom.pressed,radius/link/container/bottom/pressed,VariableID:19026:5977
affirm.radius.link.container.bottom.focus_visible,radius/link/container/bottom/focus_visible,VariableID:19026:5978
affirm.radius.link.container.top.disabled,radius/link/container/top/disabled,VariableID:19026:5982
affirm.radius.link.container.bottom.disabled,radius/link/container/bottom/disabled,VariableID:19026:5983
affirm.size.link.large.icon.all,size/link/large/icon/all,VariableID:6062:102127
affirm.size.link.medium.icon.all,size/link/medium/icon/all,VariableID:6062:102138
affirm.size.link.small.icon.all,size/link/small/icon/all,VariableID:6062:102139
affirm.size.link.outline.width.focus_visible,size/link/outline/width/focus_visible,VariableID:19056:5956
affirm.spacing.link.gap_x,spacing/link/gap_x,VariableID:15030:5907
affirm.spacing.link.outline.offset.focus_visible,spacing/link/outline/offset/focus_visible,VariableID:19043:5990
