csv_token,figma_name,figma_id
affirm.color.tabs.border,color/tabs/border,VariableID:9870:5658
affirm.color.tabs.tab.content_container.bg.selected.disabled,color/tabs/tab/content_container/bg/selected/disabled,VariableID:19660:5972
affirm.color.tabs.tab.content_container.bg.selected.focus_visible,color/tabs/tab/content_container/bg/selected/focus_visible,VariableID:19660:5971
affirm.color.tabs.tab.content_container.bg.selected.hover,color/tabs/tab/content_container/bg/selected/hover,VariableID:19660:5969
affirm.color.tabs.tab.content_container.bg.selected.pressed,color/tabs/tab/content_container/bg/selected/pressed,VariableID:19660:5970
affirm.color.tabs.tab.content_container.bg.selected.resting,color/tabs/tab/content_container/bg/selected/resting,VariableID:19660:5968
affirm.color.tabs.tab.content_container.bg.unselected.disabled,color/tabs/tab/content_container/bg/unselected/disabled,VariableID:19660:5967
affirm.color.tabs.tab.content_container.bg.unselected.focus_visible,color/tabs/tab/content_container/bg/unselected/focus_visible,VariableID:19660:5966
affirm.color.tabs.tab.content_container.bg.unselected.hover,color/tabs/tab/content_container/bg/unselected/hover,VariableID:19660:5964
affirm.color.tabs.tab.content_container.bg.unselected.pressed,color/tabs/tab/content_container/bg/unselected/pressed,VariableID:19660:5965
affirm.color.tabs.tab.content_container.bg.unselected.resting,color/tabs/tab/content_container/bg/unselected/resting,VariableID:19660:5963
affirm.color.tabs.tab.indicator.fill.selected.disabled,color/tabs/tab/indicator/fill/selected/disabled,VariableID:19652:5957
affirm.color.tabs.tab.indicator.fill.selected.focus_visible,color/tabs/tab/indicator/fill/selected/focus_visible,VariableID:19652:5956
affirm.color.tabs.tab.indicator.fill.selected.hover,color/tabs/tab/indicator/fill/selected/hover,VariableID:19652:5954
affirm.color.tabs.tab.indicator.fill.selected.pressed,color/tabs/tab/indicator/fill/selected/pressed,VariableID:19652:5955
affirm.color.tabs.tab.indicator.fill.selected.resting,color/tabs/tab/indicator/fill/selected/resting,VariableID:19652:5953
affirm.color.tabs.tab.indicator.fill.unselected.disabled,color/tabs/tab/indicator/fill/unselected/disabled,VariableID:19652:5962
affirm.color.tabs.tab.indicator.fill.unselected.focus_visible,color/tabs/tab/indicator/fill/unselected/focus_visible,VariableID:19652:5961
affirm.color.tabs.tab.indicator.fill.unselected.hover,color/tabs/tab/indicator/fill/unselected/hover,VariableID:19652:5959
affirm.color.tabs.tab.indicator.fill.unselected.pressed,color/tabs/tab/indicator/fill/unselected/pressed,VariableID:19652:5960
affirm.color.tabs.tab.indicator.fill.unselected.resting,color/tabs/tab/indicator/fill/unselected/resting,VariableID:19652:5958
affirm.color.tabs.tab.outline.focus_visible,color/tabs/tab/outline/focus_visible,VariableID:19660:5973
affirm.color.tabs.tab.text.selected.disabled,color/tabs/tab/text/selected/disabled,VariableID:19652:5948
affirm.color.tabs.tab.text.selected.focus_visible,color/tabs/tab/text/selected/focus_visible,VariableID:19652:5947
affirm.color.tabs.tab.text.selected.hover,color/tabs/tab/text/selected/hover,VariableID:19652:5945
affirm.color.tabs.tab.text.selected.pressed,color/tabs/tab/text/selected/pressed,VariableID:19652:5946
affirm.color.tabs.tab.text.selected.resting,color/tabs/tab/text/selected/resting,VariableID:9870:897
affirm.color.tabs.tab.text.unselected.disabled,color/tabs/tab/text/unselected/disabled,VariableID:19652:5952
affirm.color.tabs.tab.text.unselected.focus_visible,color/tabs/tab/text/unselected/focus_visible,VariableID:19652:5951
affirm.color.tabs.tab.text.unselected.hover,color/tabs/tab/text/unselected/hover,VariableID:19652:5949
affirm.color.tabs.tab.text.unselected.pressed,color/tabs/tab/text/unselected/pressed,VariableID:19652:5950
affirm.color.tabs.tab.text.unselected.resting,color/tabs/tab/text/unselected/resting,VariableID:9870:898
affirm.radius.tabs.tab.container.bottom,radius/tabs/tab/container/bottom,VariableID:19660:5976
affirm.radius.tabs.tab.container.top,radius/tabs/tab/container/top,VariableID:19660:5974
affirm.radius.tabs.tab.content_container.bottom,radius/tabs/tab/content_container/bottom,VariableID:19660:5978
affirm.radius.tabs.tab.content_container.top,radius/tabs/tab/content_container/top,VariableID:19660:5977
affirm.radius.tabs.tab.indicator.all.selected,radius/tabs/tab/indicator/all/selected,VariableID:19660:5979
affirm.radius.tabs.tab.indicator.all.unselected,radius/tabs/tab/indicator/all/unselected,VariableID:19660:5980
affirm.size.tabs.border_bottom.width,size/tabs/border_bottom/width,VariableID:6641:5164
affirm.size.tabs.tab.indicator.height.selected,size/tabs/tab/indicator/height/selected,VariableID:19652:5943
affirm.size.tabs.tab.indicator.height.unselected,size/tabs/tab/indicator/height/unselected,VariableID:19652:5942
affirm.size.tabs.tab.outline.width.focus_visible,size/tabs/tab/outline/width/focus_visible,VariableID:19652:5944
affirm.spacing.tabs.centered.gap_x,spacing/tabs/centered/gap_x,VariableID:7215:875
affirm.spacing.tabs.left_aligned.gap_x,spacing/tabs/left_aligned/gap_x,VariableID:6641:5165
affirm.spacing.tabs.tab.outline.offset.focus_visible,spacing/tabs/tab/outline/offset/focus_visible,VariableID:19652:5941
affirm.spacing.tabs.tab.padding_x,spacing/tabs/tab/padding_x,VariableID:7207:854
affirm.spacing.tabs.tab.padding_y,spacing/tabs/tab/padding_y,VariableID:6641:5161
