namespace,foundation,component,variant (opt),size_variant (opt),context (opt),polarity (opt),persistence (opt),part (opt),part_variant (opt),subpart (opt),property,state (opt),interaction (opt),,All Modes,Light Mode,Dark Mode,,Full Token
affirm,color,badge,default,,,,,,,,bg,,,,,gray.100,gray.600,,affirm.color.badge.default.bg
affirm,color,badge,default,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.default.border
affirm,color,badge,default,,,,,,,,icon,,,,,gray.600,gray.100,,affirm.color.badge.default.icon
affirm,color,badge,default,,,,,,,,text,,,,,gray.600,gray.100,,affirm.color.badge.default.text
affirm,color,badge,brand_primary,,,,,,,,bg,,,,,indigo.100,indigo.600,,affirm.color.badge.brand_primary.bg
affirm,color,badge,brand_primary,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_primary.border
affirm,color,badge,brand_primary,,,,,,,,icon,,,,,indigo.600,indigo.100,,affirm.color.badge.brand_primary.icon
affirm,color,badge,brand_primary,,,,,,,,text,,,,,indigo.600,indigo.100,,affirm.color.badge.brand_primary.text
affirm,color,badge,brand_secondary,,,,,,,,bg,,,,,spruce.100,spruce.600,,affirm.color.badge.brand_secondary.bg
affirm,color,badge,brand_secondary,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_secondary.border
affirm,color,badge,brand_secondary,,,,,,,,icon,,,,,spruce.600,spruce.100,,affirm.color.badge.brand_secondary.icon
affirm,color,badge,brand_secondary,,,,,,,,text,,,,,spruce.600,spruce.100,,affirm.color.badge.brand_secondary.text
affirm,color,badge,success,,,,,,,,bg,,,,,green.100,green.600,,affirm.color.badge.success.bg
affirm,color,badge,success,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.success.border
affirm,color,badge,success,,,,,,,,icon,,,,,green.600,green.100,,affirm.color.badge.success.icon
affirm,color,badge,success,,,,,,,,text,,,,,green.600,green.100,,affirm.color.badge.success.text
affirm,color,badge,error,,,,,,,,bg,,,,,red.100,red.600,,affirm.color.badge.error.bg
affirm,color,badge,error,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.error.border
affirm,color,badge,error,,,,,,,,icon,,,,,red.600,red.100,,affirm.color.badge.error.icon
affirm,color,badge,error,,,,,,,,text,,,,,red.600,red.100,,affirm.color.badge.error.text
affirm,color,badge,brand_featured,,,,,,,,bg,,,,,indigo.800,indigo.100,,affirm.color.badge.brand_featured.bg
affirm,color,badge,brand_featured,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_featured.border
affirm,color,badge,brand_featured,,,,,,,,icon,,,,,indigo.100,indigo.800,,affirm.color.badge.brand_featured.icon
affirm,color,badge,brand_featured,,,,,,,,text,,,,,indigo.100,indigo.800,,affirm.color.badge.brand_featured.text
affirm,color,badge,brand_tertiary,,,,,,,,bg,,,,,duskfall.100,duskfall.600,,affirm.color.badge.brand_tertiary.bg
affirm,color,badge,brand_tertiary,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_tertiary.border
affirm,color,badge,brand_tertiary,,,,,,,,icon,,,,,duskfall.600,duskfall.100,,affirm.color.badge.brand_tertiary.icon
affirm,color,badge,brand_tertiary,,,,,,,,text,,,,,duskfall.600,duskfall.100,,affirm.color.badge.brand_tertiary.text
affirm,color,badge,warning,,,,,,,,bg,,,,,yellow.100,yellow.600,,affirm.color.badge.warning.bg
affirm,color,badge,warning,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.warning.border
affirm,color,badge,warning,,,,,,,,icon,,,,,yellow.600,yellow.100,,affirm.color.badge.warning.icon
affirm,color,badge,warning,,,,,,,,text,,,,,yellow.600,yellow.100,,affirm.color.badge.warning.text
affirm,color,badge,info,,,,,,,,bg,,,,,blue.100,blue.600,,affirm.color.badge.info.bg
affirm,color,badge,info,,,,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.info.border
affirm,color,badge,info,,,,,,,,icon,,,,,blue.600,blue.100,,affirm.color.badge.info.icon
affirm,color,badge,info,,,,,,,,text,,,,,blue.600,blue.100,,affirm.color.badge.info.text
affirm,color,badge,default,,,,static,,,,bg,,,,,gray.100,gray.100,,affirm.color.badge.default.static.bg
affirm,color,badge,default,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.default.static.border
affirm,color,badge,default,,,,static,,,,icon,,,,,gray.600,gray.600,,affirm.color.badge.default.static.icon
affirm,color,badge,default,,,,static,,,,text,,,,,gray.600,gray.600,,affirm.color.badge.default.static.text
affirm,color,badge,brand_featured,,,,static,,,,bg,,,,,indigo.800,indigo.800,,affirm.color.badge.brand_featured.static.bg
