csv_token,figma_name,figma_id
affirm.color.badge.default.bg,color/badge/default/bg,VariableID:16631:1358
affirm.color.badge.default.border,color/badge/default/border,VariableID:16631:1366
affirm.color.badge.default.icon,color/badge/default/icon,VariableID:16631:1378
affirm.color.badge.default.text,color/badge/default/text,VariableID:16631:1383
affirm.color.badge.brand_primary.bg,color/badge/brand_primary/bg,VariableID:16631:1387
affirm.color.badge.brand_primary.border,color/badge/brand_primary/border,VariableID:16631:1391
affirm.color.badge.brand_primary.icon,color/badge/brand_primary/icon,VariableID:16631:1395
affirm.color.badge.brand_primary.text,color/badge/brand_primary/text,VariableID:16631:1403
affirm.color.badge.brand_secondary.bg,color/badge/brand_secondary/bg,VariableID:16631:1407
affirm.color.badge.brand_secondary.border,color/badge/brand_secondary/border,VariableID:16631:1411
affirm.color.badge.brand_secondary.icon,color/badge/brand_secondary/icon,VariableID:16631:1415
affirm.color.badge.brand_secondary.text,color/badge/brand_secondary/text,VariableID:16631:1423
affirm.color.badge.success.bg,color/badge/success/bg,VariableID:16631:1427
affirm.color.badge.success.border,color/badge/success/border,VariableID:16631:1431
affirm.color.badge.success.icon,color/badge/success/icon,VariableID:16631:1435
affirm.color.badge.success.text,color/badge/success/text,VariableID:16631:1443
affirm.color.badge.error.bg,color/badge/error/bg,VariableID:16631:1447
affirm.color.badge.error.border,color/badge/error/border,VariableID:16631:1451
affirm.color.badge.error.icon,color/badge/error/icon,VariableID:16631:1455
affirm.color.badge.error.text,color/badge/error/text,VariableID:16631:1463
affirm.color.badge.brand_featured.bg,color/badge/brand_featured/bg,VariableID:18977:1586
affirm.color.badge.brand_featured.border,color/badge/brand_featured/border,VariableID:18977:1588
affirm.color.badge.brand_featured.icon,color/badge/brand_featured/icon,VariableID:18977:1591
affirm.color.badge.brand_featured.text,color/badge/brand_featured/text,VariableID:18977:1592
affirm.color.badge.brand_tertiary.bg,color/badge/brand_tertiary/bg,VariableID:18977:1593
affirm.color.badge.brand_tertiary.border,color/badge/brand_tertiary/border,VariableID:18977:1594
affirm.color.badge.brand_tertiary.icon,color/badge/brand_tertiary/icon,VariableID:18977:1595
affirm.color.badge.brand_tertiary.text,color/badge/brand_tertiary/text,VariableID:18977:1596
affirm.color.badge.warning.bg,color/badge/warning/bg,VariableID:18977:1599
affirm.color.badge.warning.border,color/badge/warning/border,VariableID:18977:1600
affirm.color.badge.warning.icon,color/badge/warning/icon,VariableID:18977:1601
affirm.color.badge.warning.text,color/badge/warning/text,VariableID:18977:1602
affirm.color.badge.info.bg,color/badge/info/bg,VariableID:18977:1605
affirm.color.badge.info.border,color/badge/info/border,VariableID:18977:1606
affirm.color.badge.info.icon,color/badge/info/icon,VariableID:18977:1607
affirm.color.badge.info.text,color/badge/info/text,VariableID:18977:1608
affirm.color.badge.default.static.bg,color/badge/default/static/bg,VariableID:18977:1611
affirm.color.badge.default.static.border,color/badge/default/static/border,VariableID:18977:1612
affirm.color.badge.default.static.icon,color/badge/default/static/icon,VariableID:18977:1613
affirm.color.badge.default.static.text,color/badge/default/static/text,VariableID:18977:1614
affirm.color.badge.brand_featured.static.bg,color/badge/brand_featured/static/bg,VariableID:18977:1615
affirm.color.badge.brand_featured.static.border,color/badge/brand_featured/static/border,VariableID:18977:1616
affirm.color.badge.brand_featured.static.icon,color/badge/brand_featured/static/icon,VariableID:18977:1617
affirm.color.badge.brand_featured.static.text,color/badge/brand_featured/static/text,VariableID:18977:1618
affirm.color.badge.brand_primary.static.bg,color/badge/brand_primary/static/bg,VariableID:18977:1619
affirm.color.badge.brand_primary.static.border,color/badge/brand_primary/static/border,VariableID:18977:1620
affirm.color.badge.brand_primary.static.icon,color/badge/brand_primary/static/icon,VariableID:18977:1621
affirm.color.badge.brand_primary.static.text,color/badge/brand_primary/static/text,VariableID:18977:1622
affirm.color.badge.brand_secondary.static.bg,color/badge/brand_secondary/static/bg,VariableID:18977:1623
affirm.color.badge.brand_secondary.static.border,color/badge/brand_secondary/static/border,VariableID:18977:1624
affirm.color.badge.brand_secondary.static.icon,color/badge/brand_secondary/static/icon,VariableID:18977:1625
affirm.color.badge.brand_secondary.static.text,color/badge/brand_secondary/static/text,VariableID:18977:1626
affirm.color.badge.brand_tertiary.static.bg,color/badge/brand_tertiary/static/bg,VariableID:18977:1627
affirm.color.badge.brand_tertiary.static.border,color/badge/brand_tertiary/static/border,VariableID:18977:1628
affirm.color.badge.brand_tertiary.static.icon,color/badge/brand_tertiary/static/icon,VariableID:18977:1629
affirm.color.badge.brand_tertiary.static.text,color/badge/brand_tertiary/static/text,VariableID:18977:1630
affirm.color.badge.warning.static.bg,color/badge/warning/static/bg,VariableID:18977:1639
affirm.color.badge.warning.static.border,color/badge/warning/static/border,VariableID:18977:1640
affirm.color.badge.warning.static.icon,color/badge/warning/static/icon,VariableID:18977:1641
affirm.color.badge.warning.static.text,color/badge/warning/static/text,VariableID:18977:1642
affirm.color.badge.success.static.bg,color/badge/success/static/bg,VariableID:18977:1631
affirm.color.badge.success.static.border,color/badge/success/static/border,VariableID:18977:1632
affirm.color.badge.success.static.icon,color/badge/success/static/icon,VariableID:18977:1633
affirm.color.badge.success.static.text,color/badge/success/static/text,VariableID:18977:1634
affirm.color.badge.error.static.bg,color/badge/error/static/bg,VariableID:18977:1635
affirm.color.badge.error.static.border,color/badge/error/static/border,VariableID:18977:1636
affirm.color.badge.error.static.icon,color/badge/error/static/icon,VariableID:18977:1637
affirm.color.badge.error.static.text,color/badge/error/static/text,VariableID:18977:1638
affirm.color.badge.info.static.bg,color/badge/info/static/bg,VariableID:18977:1643
affirm.color.badge.info.static.border,color/badge/info/static/border,VariableID:18977:1644
