name,value,id
base/color/blue/050,#E9F8FF,VariableID:4360:1126052
base/color/blue/100,#A9DFF8,VariableID:4360:1126053
base/color/blue/200,#7CC3E1,VariableID:4360:1126054
base/color/blue/300,#5EA4C2,VariableID:4360:1126055
base/color/blue/400,#4087A4,VariableID:4360:1126056
base/color/blue/500,#196B88,VariableID:4360:1126057
base/color/blue/600,#005671,VariableID:4360:1126058
base/color/blue/700,#004256,VariableID:4360:1126059
base/color/blue/800,#002E3E,VariableID:4360:1126060
base/color/blue/900,#001C27,VariableID:4360:1126061
base/color/brand/dandelion,#FFCA61,VariableID:4359:1124776
base/color/brand/duskfall,#51339D,VariableID:4359:1124774
base/color/brand/indigo,#4A4AF4,VariableID:4359:1124770
base/color/brand/indigo/dark,#0A0340,VariableID:4359:1124772
base/color/brand/indigo/light,#9DADF9,VariableID:4359:1124771
base/color/brand/neutral/black,#13131F,VariableID:4359:1124778
base/color/brand/neutral/charcoal_gray,#3F424E,VariableID:4359:1124783
base/color/brand/neutral/cool_gray,#8B8F9C,VariableID:4359:1124781
base/color/brand/neutral/dark_gray,#2D3039,VariableID:4359:1124784
base/color/brand/neutral/slate_gray,#5F6272,VariableID:4359:1124782
base/color/brand/neutral/soft_gray,#BBBDC6,VariableID:4359:1124780
base/color/brand/neutral/white,#FFFFFF,VariableID:4359:1124777
base/color/brand/neutral/white_gray,#F8F8FA,VariableID:4359:1124779
base/color/brand/orchid,#92199A,VariableID:4359:1124775
base/color/brand/spruce,#196B88,VariableID:4359:1124773
base/color/dandelion/050,#FFF4E0,VariableID:4360:1125960
base/color/dandelion/100,#FFECC9,VariableID:4360:1125961
base/color/dandelion/200,#FFE4B2,VariableID:4360:1125962
base/color/dandelion/300,#FFDB9A,VariableID:4360:1125963
base/color/dandelion/400,#FFD37F,VariableID:4360:1125964
base/color/dandelion/500,#FFCA61,VariableID:4360:1125965
base/color/dandelion/600,#D89E00,VariableID:4360:1125967
base/color/dandelion/700,#956C00,VariableID:4360:1125968
base/color/dandelion/800,#553C00,VariableID:4360:1125969
base/color/dandelion/900,#221600,VariableID:4360:1125970
base/color/duskfall/050,#F5F4FF,VariableID:4359:1125505
base/color/duskfall/100,#D6D0FF,VariableID:4359:1125506
base/color/duskfall/200,#B9ACFF,VariableID:4359:1125507
base/color/duskfall/300,#9E8AF2,VariableID:4359:1125508
base/color/duskfall/400,#836DD5,VariableID:4359:1125509
base/color/duskfall/500,#694FBB,VariableID:4359:1125510
base/color/duskfall/600,#51339D,VariableID:4359:1125511
base/color/duskfall/700,#41118F,VariableID:4359:1125512
base/color/duskfall/800,#2E086A,VariableID:4359:1125513
base/color/duskfall/900,#1D0048,VariableID:4359:1125514
base/color/gray/020,#F8F8FA,VariableID:4360:1126009
base/color/gray/050,#EDEEF2,VariableID:4360:1125972
base/color/gray/050 • a00,#EDEEF200,VariableID:4725:5
base/color/gray/100,#DDDEE2,VariableID:4360:1125973
base/color/gray/150,#CCCDD4,VariableID:4360:1125974
base/color/gray/200,#BBBDC6,VariableID:4360:1125975
base/color/gray/250,#ABADB8,VariableID:4360:1125976
base/color/gray/300,#9B9EAA,VariableID:4360:1125977
base/color/gray/350,#8B8F9C,VariableID:4360:1125978
base/color/gray/400,#7C808E,VariableID:4360:1125979
base/color/gray/450,#6D7180,VariableID:4360:1125980
base/color/gray/500,#5F6272,VariableID:4360:1126010
base/color/gray/550,#535766,VariableID:4360:1126011
base/color/gray/600,#494C5A,VariableID:4360:1126012
base/color/gray/650,#3F424E,VariableID:4360:1126013
base/color/gray/700,#353743,VariableID:4360:1126014
base/color/gray/750,#2D3039,VariableID:4360:1126015
base/color/gray/800,#262830,VariableID:4360:1126016
base/color/gray/850,#1F2128,VariableID:4360:1126017
base/color/gray/900,#191A21,VariableID:4360:1126018
base/color/gray/950,#121319,VariableID:4360:1126019
base/color/gray/950 • a25,#12131940,VariableID:4712:7648
base/color/gray/980,#0C0D12,VariableID:4360:1126020
base/color/gray/black,#000000,VariableID:4360:1126021
base/color/gray/white,#FFFFFF,VariableID:4360:1125971
base/color/gray/white • a10,#FFFFFF1A,VariableID:4673:7466
base/color/green/050,#DFFFE4,VariableID:4360:1126042
base/color/green/100,#A6EAB2,VariableID:4360:1126043
base/color/green/200,#7CCE8C,VariableID:4360:1126044
base/color/green/300,#59B16D,VariableID:4360:1126045
base/color/green/400,#35944F,VariableID:4360:1126046
base/color/green/500,#007832,VariableID:4360:1126047
